Albania,Tirana,EU_Albania.png,F_Albania.png
Andorra,Andorra La Vella,EU_Andorra.png,F_Andorra.png
Austria,Vienna,EU_Austria.png,F_Austria.png
Belgio,Bruxelles,EU_Belgio.png,F_Belgio.png
Bielorussia,Minsk,EU_Bielorussia.png,F_Bielorussia.png
Bosnia ed Erzegovina,Sarajevo,EU_Bosnia Herzegovina.png,F_Bosnia Erzegovina.png
Bulgaria,Sofia,EU_Bulgaria.png,F_Bulgaria.png
Cipro,Nicosia,EU_Cipro.png,F_Cipro.png
Repubblica Ceca,Praga,EU_Rep Ceca.png,F_Rep Ceca.png
Croazia,Zagabria,EU_Croazia.png,F_Croazia.png
Danimarca,Copenaghen,EU_Danimarca.png,F_Danimarca.png
Estonia,Tallinn,EU_Estonia.png,F_Estonia.png
Europa,,EU_Europa hp.png,
Finlandia,Helsinki,EU_Finlandia.png,F_Finlandia.png
Francia,Parigi,EU_Francia.png,F_Francia.png
Germania,Berlino,EU_Germania.png,F_Germania.png
Grecia,Atene,EU_Grecia.png,F_Grecia.png
Irlanda,Dublino,EU_Irlanda.png,F_Irlanda.png
Islanda,Reykjavik,EU_Islanda.png,F_Islanda.png
Italia,Roma,EU_Italia.png,F_Italia.png
Kosovo,Pristina,EU_Kosovo.png,F_Kosovo.png
Lettonia,Riga,EU_Lettonia.png,F_Lettonia.png
Liechtenstein,Vaduz,EU_Liechtenstein.png,F_Liechtenstein.png
Lituania,Vilnius,EU_Lituania.png,F_Lituania.png
Lussemburgo,Lussemburgo,EU_Lussemburgo.png,F_Lusemburgo.png
Macedonia,Skopje,EU_Macedonia.png,F_Macedonia.png
Malta,La Valletta,EU_Malta.png,F_Malta.png
Moldavia,Chisinau,EU_Moldavia.png,F_Moldavia.png
Monaco,Monaco,EU_Monaco.png,F_Monaco.png
Montenegro,Podgorica,EU_Montenegro.png,F_Montenegro.png
Norvegia,Oslo,EU_Norvegia.png,F_Norvegia.png
Paesi Bassi,Amsterdam,EU_Paesi Bassi.png,F_Paesi Bassi.png
Polonia,Varsavia,EU_Polonia.png,F_Polonia.png
Portogallo,Lisbona,EU_Portogallo.png,F_Portogallo.png
Regno Unito,Londra,EU_Regno Unito.png,F_Regno Unito.png
Romania,Bucarest,EU_Romania.png,F_Romania.png
Russia,Mosca,EU_Russia.png,F_Russia.png
San Marino,San Marino,EU_San Marino.png,F_San Marino.png
Serbia,Belgrado,EU_Serbia.png,F_Serbia.png
Slovacchia,Bratislava,EU_Slovacchia.png,F_Slovacchia.png
Slovenia,Lubiana,EU_Slovenia.png,F_Slovenia.png
Spagna,Madrid,EU_Spagna.png,F_Spagna.png
Svezia,Stoccolma,EU_Svezia.png,F_Svezia.png
Svizzera,Berna,EU_Svizzera.png,F_Svizzera.png
Turchia,Ankara,EU_Turchia.png,F_Turchia.png
Ucraina,Kiev,EU_Ukraina.png,F_Ukraina.png
Ungheria,Budapest,EU_Ungheria.png,F_Ungheria.png
Citta del Vaticano,Citta del Vaticano,EU_Citta del Vaticano.png,F_Citta del Vaticano.png
